"agency_cd","site_no","Date","GH","GH_cd"
"USGS","03447687",2001-07-13,4.11,"A"
"USGS","03447687",2001-07-14,3.69,"A"
"USGS","03447687",2001-07-15,3.57,"A"
"USGS","03447687",2001-07-16,3.49,"A"
"USGS","03447687",2001-07-17,3.46,"A"
"USGS","03447687",2001-07-18,3.48,"A"
"USGS","03447687",2001-07-19,3.56,"A"
"USGS","03447687",2001-07-20,4.04,"A"
"USGS","03447687",2001-07-21,4.25,"A"
"USGS","03447687",2001-07-22,3.79,"A"
"USGS","03447687",2001-07-23,3.62,"A"
"USGS","03447687",2001-07-24,3.53,"A"
"USGS","03447687",2001-07-25,4.28,"A"
"USGS","03447687",2001-07-26,5.22,"A"
"USGS","03447687",2001-07-27,4.53,"A"
"USGS","03447687",2001-07-28,4.35,"A"
"USGS","03447687",2001-07-29,4.38,"A"
"USGS","03447687",2001-07-30,4.62,"A"
"USGS","03447687",2001-07-31,4.33,"A"
"USGS","03447687",2001-08-01,4.41,"A"
"USGS","03447687",2001-08-02,4.31,"A"
"USGS","03447687",2001-08-03,4.31,"A"
"USGS","03447687",2001-08-04,4.91,"A"
"USGS","03447687",2001-08-05,4.47,"A"
"USGS","03447687",2001-08-06,4.67,"A"
"USGS","03447687",2001-08-07,4.55,"A"
"USGS","03447687",2001-08-08,4.47,"A"
"USGS","03447687",2001-08-09,4.2,"A"
"USGS","03447687",2001-08-10,4.13,"A"
"USGS","03447687",2001-08-11,4.13,"A"
"USGS","03447687",2001-08-12,3.97,"A"
"USGS","03447687",2001-08-13,3.97,"A"
"USGS","03447687",2001-08-14,4.27,"A"
"USGS","03447687",2001-08-15,4.3,"A"
"USGS","03447687",2001-08-16,3.99,"A"
"USGS","03447687",2001-08-17,3.94,"A"
"USGS","03447687",2001-08-18,3.98,"A"
"USGS","03447687",2001-08-19,3.83,"A"
"USGS","03447687",2001-08-20,3.71,"A"
"USGS","03447687",2001-08-21,3.63,"A"
"USGS","03447687",2001-08-22,3.57,"A"
"USGS","03447687",2001-08-23,3.52,"A"
"USGS","03447687",2001-08-24,3.68,"A"
"USGS","03447687",2001-08-25,3.61,"A"
"USGS","03447687",2001-08-26,3.59,"A"
"USGS","03447687",2001-08-27,3.81,"A"
"USGS","03447687",2001-08-28,4.37,"A"
"USGS","03447687",2001-08-29,4.01,"A"
"USGS","03447687",2001-08-30,3.77,"A"
"USGS","03447687",2001-08-31,3.78,"A"
"USGS","03447687",2001-09-01,3.83,"A"
"USGS","03447687",2001-09-02,3.9,"A"
"USGS","03447687",2001-09-03,4.32,"A"
"USGS","03447687",2001-09-04,4.77,"A"
"USGS","03447687",2001-09-05,4.66,"A"
"USGS","03447687",2001-09-06,4.2,"A"
"USGS","03447687",2001-09-07,3.97,"A"
"USGS","03447687",2001-09-08,3.85,"A"
"USGS","03447687",2001-09-09,3.76,"A"
"USGS","03447687",2001-09-10,3.82,"A"
"USGS","03447687",2001-09-11,4.02,"A"
"USGS","03447687",2001-09-12,3.86,"A"
"USGS","03447687",2001-09-13,3.74,"A"
"USGS","03447687",2001-09-14,3.74,"A"
"USGS","03447687",2001-09-15,3.83,"A"
"USGS","03447687",2001-09-16,3.63,"A"
"USGS","03447687",2001-09-17,3.57,"A"
"USGS","03447687",2001-09-18,3.54,"A"
"USGS","03447687",2001-09-19,3.52,"A"
"USGS","03447687",2001-09-20,4.31,"A"
"USGS","03447687",2001-09-21,4.65,"A"
"USGS","03447687",2001-09-22,4.02,"A"
"USGS","03447687",2001-09-23,3.8,"A"
"USGS","03447687",2001-09-24,5.04,"A"
"USGS","03447687",2001-09-25,5.98,"A"
"USGS","03447687",2001-09-26,4.84,"A"
"USGS","03447687",2001-09-27,4.4,"A"
"USGS","03447687",2001-09-28,4.19,"A"
"USGS","03447687",2001-09-29,4.05,"A"
"USGS","03447687",2001-09-30,3.94,"A"
"USGS","03447687",2001-10-01,3.87,"A"
"USGS","03447687",2001-10-02,3.81,"A"
"USGS","03447687",2001-10-03,3.75,"A"
"USGS","03447687",2001-10-04,3.72,"A"
"USGS","03447687",2001-10-05,3.68,"A"
"USGS","03447687",2001-10-06,3.68,"A"
"USGS","03447687",2001-10-07,3.74,"A"
"USGS","03447687",2001-10-08,3.67,"A"
"USGS","03447687",2001-10-09,3.61,"A"
"USGS","03447687",2001-10-10,3.6,"A"
"USGS","03447687",2001-10-11,3.61,"A"
"USGS","03447687",2001-10-12,3.64,"A"
"USGS","03447687",2001-10-13,3.83,"A"
"USGS","03447687",2001-10-14,4.45,"A"
"USGS","03447687",2001-10-15,5.78,"A"
"USGS","03447687",2001-10-16,4.77,"A"
"USGS","03447687",2001-10-17,4.33,"A"
"USGS","03447687",2001-10-18,4.16,"A"
"USGS","03447687",2001-10-19,4.07,"A"
"USGS","03447687",2001-10-20,4.01,"A"
"USGS","03447687",2001-10-21,3.97,"A"
"USGS","03447687",2001-10-22,3.93,"A"
"USGS","03447687",2001-10-23,3.89,"A"
"USGS","03447687",2001-10-24,3.88,"A"
"USGS","03447687",2001-10-25,3.85,"A"
"USGS","03447687",2001-10-26,3.84,"A"
"USGS","03447687",2001-10-27,3.79,"A"
"USGS","03447687",2001-10-28,3.78,"A"
"USGS","03447687",2001-10-29,3.77,"A"
"USGS","03447687",2001-10-30,3.75,"A"
"USGS","03447687",2001-10-31,3.8,"A"
"USGS","03447687",2001-11-01,3.82,"A"
"USGS","03447687",2001-11-02,3.72,"A"
"USGS","03447687",2001-11-03,3.68,"A"
"USGS","03447687",2001-11-04,3.65,"A"
"USGS","03447687",2001-11-05,3.65,"A"
"USGS","03447687",2001-11-06,3.65,"A"
"USGS","03447687",2001-11-07,3.66,"A"
"USGS","03447687",2001-11-08,3.66,"A"
"USGS","03447687",2001-11-09,3.63,"A"
"USGS","03447687",2001-11-10,3.6,"A"
"USGS","03447687",2001-11-11,3.58,"A"
"USGS","03447687",2001-11-12,3.57,"A"
"USGS","03447687",2001-11-13,3.64,"A"
"USGS","03447687",2001-11-14,3.62,"A"
"USGS","03447687",2001-11-15,3.58,"A"
"USGS","03447687",2001-11-16,3.54,"A"
"USGS","03447687",2001-11-17,3.52,"A"
"USGS","03447687",2001-11-18,3.5,"A"
"USGS","03447687",2001-11-19,3.51,"A"
"USGS","03447687",2001-11-20,3.51,"A"
"USGS","03447687",2001-11-21,3.5,"A"
"USGS","03447687",2001-11-22,3.5,"A"
"USGS","03447687",2001-11-23,3.51,"A"
"USGS","03447687",2001-11-24,4.36,"A"
"USGS","03447687",2001-11-25,4.89,"A"
"USGS","03447687",2001-11-26,4.89,"A"
"USGS","03447687",2001-11-27,4.44,"A"
"USGS","03447687",2001-11-28,4.23,"A"
"USGS","03447687",2001-11-29,4.2,"A"
"USGS","03447687",2001-11-30,4.22,"A"
"USGS","03447687",2001-12-01,4.33,"A"
"USGS","03447687",2001-12-02,4.18,"A"
"USGS","03447687",2001-12-03,4.06,"A"
"USGS","03447687",2001-12-04,3.96,"A"
"USGS","03447687",2001-12-05,3.9,"A"
"USGS","03447687",2001-12-06,3.89,"A"
"USGS","03447687",2001-12-07,3.87,"A"
"USGS","03447687",2001-12-08,3.85,"A"
"USGS","03447687",2001-12-09,3.83,"A"
"USGS","03447687",2001-12-10,3.92,"A"
"USGS","03447687",2001-12-11,5.05,"A"
"USGS","03447687",2001-12-12,4.77,"A"
"USGS","03447687",2001-12-13,4.51,"A"
"USGS","03447687",2001-12-14,4.57,"A"
"USGS","03447687",2001-12-15,4.54,"A"
"USGS","03447687",2001-12-16,4.38,"A"
"USGS","03447687",2001-12-17,4.38,"A"
"USGS","03447687",2001-12-18,5.31,"A"
"USGS","03447687",2001-12-19,5.12,"A"
"USGS","03447687",2001-12-20,4.78,"A"
"USGS","03447687",2001-12-21,4.55,"A"
"USGS","03447687",2001-12-22,4.44,"A"
"USGS","03447687",2001-12-23,4.36,"A"
"USGS","03447687",2001-12-24,4.62,"A"
"USGS","03447687",2001-12-25,4.64,"A"
"USGS","03447687",2001-12-26,4.46,"A"
"USGS","03447687",2001-12-27,4.38,"A"
"USGS","03447687",2001-12-28,4.28,"A"
"USGS","03447687",2001-12-29,4.23,"A"
"USGS","03447687",2001-12-30,4.19,"A"
"USGS","03447687",2001-12-31,4.14,"A"
"USGS","03447687",2002-01-01,4.08,"A"
"USGS","03447687",2002-01-02,4.04,"A"
"USGS","03447687",2002-01-03,4.05,"A"
"USGS","03447687",2002-01-04,4,"A"
"USGS","03447687",2002-01-05,3.98,"A"
"USGS","03447687",2002-01-06,4.36,"A"
"USGS","03447687",2002-01-07,4.9,"A"
"USGS","03447687",2002-01-08,4.53,"A"
"USGS","03447687",2002-01-09,4.39,"A"
"USGS","03447687",2002-01-10,4.29,"A"
"USGS","03447687",2002-01-11,4.25,"A"
"USGS","03447687",2002-01-12,4.21,"A"
"USGS","03447687",2002-01-13,4.17,"A"
"USGS","03447687",2002-01-14,4.13,"A"
